iter	Logloss
0	0.6093262688
1	0.5389698816
2	0.4882443867
3	0.4391093421
4	0.4010229928
5	0.3783630855
6	0.3622513786
7	0.3372654506
8	0.3215686132
9	0.3032796951
10	0.2897471837
11	0.2772098602
12	0.2631775387
13	0.2487149193
14	0.2431633359
15	0.2376250736
16	0.2279650734
17	0.2210194906
18	0.2170435345
19	0.2117339603
20	0.207890344
21	0.2034788586
22	0.1985388014
23	0.1931773837
24	0.1873337276
25	0.1849296691
26	0.1803124322
27	0.1780615791
28	0.1752195449
29	0.1726215181
30	0.1702340262
31	0.1671660166
32	0.1636114817
33	0.1619623336
34	0.1604984707
35	0.1574222141
36	0.1564363994
37	0.1534821041
38	0.1505945599
39	0.1488833473
40	0.1475392538
41	0.1461694384
42	0.1442013211
43	0.1430182805
44	0.14071361
45	0.1399208917
46	0.1387963552
47	0.1368947953
48	0.135923101
49	0.1353316776
50	0.1342306955
51	0.1330502707
52	0.1323821295
53	0.1309871855
54	0.1294864231
55	0.1281904796
56	0.1270948743
57	0.126190125
58	0.1256123134
59	0.1251667447
60	0.1242982895
61	0.1232961382
62	0.1224283006
63	0.1219884963
64	0.1204841856
65	0.1198077489
66	0.118692719
67	0.117922247
68	0.1169719878
69	0.1157160441
70	0.1146000938
71	0.1137619019
72	0.112671286
73	0.1118673537
74	0.1110230461
75	0.1098546709
76	0.1090160794
77	0.108210936
78	0.1075268942
79	0.1065529717
80	0.1058126662
81	0.1045804826
82	0.1036476014
83	0.1032688807
84	0.1024234106
85	0.1018443032
86	0.1012644571
87	0.1007216317
88	0.09985481747
89	0.09940534319
90	0.09912074256
91	0.09836452424
92	0.09748903305
93	0.09693007091
94	0.09644553169
95	0.09566592262
96	0.09511373611
97	0.09468466744
98	0.09422406393
99	0.09347207206
100	0.0932190002
101	0.09236893427
102	0.09189337473
103	0.09151553199
104	0.09114021422
105	0.09042255462
106	0.0902996366
107	0.08970838274
108	0.08935347058
109	0.08886705429
110	0.08857512701
111	0.08787955027
112	0.08714723738
113	0.08659490555
114	0.08574142456
115	0.08521216256
116	0.084874798
117	0.08446783641
118	0.08397967626
119	0.08360762823
120	0.08297338334
121	0.08254906185
122	0.08234860859
123	0.08199412634
124	0.08156514243
125	0.08109685504
126	0.0804922558
127	0.08004349603
128	0.07927615453
129	0.07896426973
130	0.07839781746
131	0.07774366349
132	0.07731282068
133	0.07690645248
134	0.07647759574
135	0.07605017405
136	0.07581432887
137	0.07527792794
138	0.07495969742
139	0.0746495262
140	0.074326603
141	0.07400305612
142	0.07365710546
143	0.07322274465
144	0.07280854119
145	0.07235140119
146	0.0718602014
147	0.07134997655
148	0.07100687784
149	0.07070788429
150	0.07041313535
151	0.07001438444
152	0.06976304433
153	0.06936960372
154	0.06893906366
155	0.06863706074
156	0.06845825438
157	0.06814953032
158	0.06749337211
159	0.06720009456
160	0.06667216467
161	0.06640170264
162	0.06618751041
163	0.0658928523
164	0.06575610448
165	0.06532516479
166	0.06489619906
167	0.06450834728
168	0.0641830081
169	0.0639472477
170	0.06379590716
171	0.06355976529
172	0.0631396218
173	0.06277541509
174	0.06251910376
175	0.06223756699
176	0.06207591466
177	0.06179326375
178	0.06156177218
179	0.06109158955
180	0.0608001709
